Created - 15:43:03.290620: Large marble: Big Joe, marbles: Maximum Violet, Beaver, Pastel Blue, Golden Yellow, Middle Red Purple, Pastel Gray, Neon Pink
Created - 15:43:08.926065: Large marble: Apollo, marbles: Liver Chestnut, Shandy, White Smoke, Neon Pink, Lavender Blue, Blue-Green, Middle Green
Created - 15:43:09.032180: Large marble: Big Joe, marbles: Sage, Cotton Candy, Venetian Red, Almond, Russian Violet, Sheen Green, Mint Cream
Created - 15:43:09.140527: Large marble: Big Joe, marbles: Honeydew, Pastel Gray, Platinum, Gold, Granny Smith Apple, Sage, Pale Taupe
Created - 15:43:09.248222: Large marble: 5-Star, marbles: Middle Red Purple, Zomp, Lilac Luster, Silver Pink, Zomp, Mint Green, Rose Dust
Created - 15:43:09.357571: Large marble: Apollo, marbles: Chinese Red, White Smoke, Thulian Pink, Mango Tango, Middle Green, Light Orange, Middle Green
Created - 15:43:09.468129: Large marble: Spinner, marbles: Isabelline, Royal Red, Middle Green, Gold, Royal Orange, Auburn, Middle Green Yellow
Created - 15:43:09.574530: Large marble: Big Joe, marbles: Pale Cerulean, Neon Dark Green, Isabelline, Antique Brass, Orange Soda, Liver Chestnut, Russian Green
Created - 15:43:09.685645: Large marble: Apollo, marbles: Spanish Pink, Rose Dust, Spanish Carmine, Lavender Blue, Orange Soda, Ivory, Bistre Brown
Created - 15:43:09.791611: Large marble: Sure Shot, marbles: Spanish Orange, Black Coral, Vegas Gold, Antique Bronze, Green, Mode Beige, Neon Dark Green
Created - 15:43:09.901090: Large marble: Big Joe, marbles: Lemon Lime, Russian Green, Mint Green, Safety Yellow, Liver Chestnut, Mint Cream, Chinese Red
Created - 15:43:10.009134: Large marble: 5-Star, marbles: Middle Red Purple, Lumber, Candy Pink, Indigo, Mimi Pink, Cobalt Blue, Silver Pink
Created - 15:43:10.117268: Large marble: Sure Shot, marbles: Lumber, Golden Yellow, Vegas Gold, Neon Dark Green, Spanish Carmine, Cotton Candy, Stop Red
Created - 15:43:10.225581: Large marble: Lucky, marbles: Sage, White Smoke, Gold, Antique Brass, Middle Green Yellow, Dark Fuchsia, Spanish Carmine
Created - 15:43:10.334579: Large marble: Lucky, marbles: Purple Plum, Slate Blue, Orange Soda, Middle Green Yellow, Russian Violet, Auburn, Outrageous Orange
Created - 15:43:10.443922: Large marble: Apollo, marbles: Orange Peel, Sage, Sage, Orange Peel, Silver Chalice, Safety Yellow, Rose Quartz
Created - 15:43:10.551499: Large marble: Winner, marbles: Golden Yellow, Lemon Lime, Dark Fuchsia, Pastel Blue, Bistre Brown, Antique Brass, Vegas Gold
Created - 15:43:10.659964: Large marble: Sure Shot, marbles: Emerald, Russian Violet, Neon Silver, Rose Quartz, Bistre Brown, Black Coral, Tuscan Brown
Created - 15:43:10.767730: Large marble: Big Joe, marbles: Light Orange, Brink Pink, Rose Quartz, Orange Peel, Orange Peel, Brown, Almond
Created - 15:43:10.875734: Large marble: Spinner, marbles: Vegas Gold, Thulian Pink, Purple, Venetian Red, Rose Quartz, Chinese Red, Beaver
Created - 15:43:10.984047: Large marble: Winner, marbles: Ivory, Blue Bell, Lavender Blue, Thulian Pink, Pale Cerulean, Brink Pink, Ivory
Created - 15:43:11.092077: Large marble: Spinner, marbles: Royal Orange, Safety Yellow, Mango Tango, Pale Taupe, Thulian Pink, Lumber, Lavender Purple
Created - 15:43:11.197980: Large marble: Lucky, marbles: Pastel Gray, Pastel Blue, Purple, Honeydew, Light Orchid, Russian Green, Eerie Black
Created - 15:43:11.305867: Large marble: Spinner, marbles: Cotton Candy, Safety Yellow, Safety Yellow, Outrageous Orange, Royal Orange, Beaver, Rose Quartz
Created - 15:43:11.412759: Large marble: Winner, marbles: Royal Blue, Almond, Blue-Green, Spanish Orange, Pale Plum, Green, Icterine
Created - 15:43:11.522556: Large marble: Apollo, marbles: Pale Plum, La Salle Green, Slate Blue, Mango Tango, Pale Plum, Mulberry, Maximum Purple
Created - 15:43:11.630432: Large marble: Big Joe, marbles: Liver Chestnut, Ivory, Pale Plum, Spanish Orange, Rose Quartz, Auburn, Venetian Red
Created - 15:43:11.738294: Large marble: Hercules, marbles: Beaver, Antique Brass, Rose Dust, Fiery Rose, Blue Bell, Russian Violet, Maximum Blue
Created - 15:43:11.847250: Large marble: Winner, marbles: Gold, Terra Cotta, Purple, Gold, Mimi Pink, Orange Soda, Mango Tango
Created - 15:43:11.952636: Large marble: Zeus, marbles: Mode Beige, Pale Goldenrod, Russian Violet, Shandy, Honeydew, Spanish Pink, Indigo
Created - 15:43:12.060966: Large marble: Hercules, marbles: Mimi Pink, Silver Chalice, Light Orchid, Fiery Rose, Green, Mango Tango, Sheen Green
Created - 15:43:12.168017: Large marble: Lucky, marbles: Almond, Spanish Pink, Mimi Pink, Spanish Orange, Arylide Yellow, Lilac Luster, Mulberry
Created - 15:43:12.275641: Large marble: Apollo, marbles: Blue Bell, Royal Orange, Isabelline, Neon Silver, Mimi Pink, Neon Silver, Zomp
Created - 15:43:12.385353: Large marble: Sure Shot, marbles: Pale Taupe, Pastel Gray, La Salle Green, Purple, Blue, Candy Pink, Blue Bell
Created - 15:43:12.490904: Large marble: 5-Star, marbles: Antique Bronze, Honeydew, Mint Green, Rose Dust, Isabelline, Lemon Lime, Pale Plum
Created - 15:43:12.599736: Large marble: Winner, marbles: Gold, Golden Yellow, Spanish Pink, Dark Fuchsia, Rose Quartz, Light Orange, Lumber
Created - 15:43:12.708757: Large marble: 5-Star, marbles: Pale Plum, Zomp, Orange Soda, Silver Pink, Lavender Purple, Gold, Vegas Gold
Created - 15:43:12.817328: Large marble: Lucky, marbles: Cotton Candy, Pale Goldenrod, Fiery Rose, Bistre Brown, Purple, Auburn, Spanish Carmine
Created - 15:43:12.927386: Large marble: Winner, marbles: Isabelline, Dark Moss Green, Neon Silver, Stop Red, Royal Red, Icterine, Vegas Gold
Created - 15:43:13.034895: Large marble: 5-Star, marbles: Antique Bronze, Platinum, Terra Cotta, Maximum Purple, Ruby, Venetian Red, Pale Cerulean
Created - 15:43:13.144610: Large marble: Spinner, marbles: Lumber, Neon Pink, Rose Dust, Antique Bronze, Mango Tango, Tuscan Brown, Isabelline
Created - 15:43:13.251120: Large marble: Winner, marbles: Mulberry, Auburn, Mint Cream, Golden Yellow, Royal Red, Shandy, Middle Green Yellow
Created - 15:43:13.360231: Large marble: Big Joe, marbles: Sheen Green, Bistre Brown, Royal Orange, Light Orange, Isabelline, Blue-Green, Tuscan Brown
Created - 15:43:13.469667: Large marble: Apollo, marbles: Liver Chestnut, Pale Plum, Cobalt Blue, Vegas Gold, Light Orange, White Smoke, Tuscan Brown
Created - 15:43:13.577118: Large marble: Apollo, marbles: Mint Cream, Mint Green, Rose Quartz, White Smoke, White Smoke, Pastel Blue, Duke Blue
Created - 15:43:13.687051: Large marble: Sure Shot, marbles: Brink Pink, Green, Shandy, Orange Soda, Green, Mulberry, Spanish Carmine
Created - 15:43:13.792180: Large marble: Hercules, marbles: Middle Green Yellow, Granny Smith Apple, White Smoke, Light Orange, Antique Bronze, Purple, Auburn
Created - 15:43:13.902015: Large marble: Spinner, marbles: Dark Fuchsia, Light Orchid, La Salle Green, Duke Blue, Stop Red, Cotton Candy, Indigo
Created - 15:43:14.010099: Large marble: Big Joe, marbles: Light Orange, Isabelline, Shandy, Lemon Lime, Green, Purple Plum, Pastel Blue
Created - 15:43:14.117916: Large marble: Zeus, marbles: Cobalt Blue, Emerald, Granny Smith Apple, Granny Smith Apple, Spanish Orange, Isabelline, Lavender Blue
Created - 15:43:14.226383: Large marble: Sure Shot, marbles: Dark Moss Green, Rose Dust, Venetian Red, Ruby, Isabelline, Maximum Violet, Mimi Pink
Created - 15:43:14.335086: Large marble: Lucky, marbles: Black Coral, Purple Plum, Middle Green Yellow, Maximum Blue, Orange Soda, Tuscan Brown, Orange Soda
Created - 15:43:14.444226: Large marble: Zeus, marbles: Spanish Carmine, Granny Smith Apple, Pastel Gray, Fiery Rose, Lumber, Spanish Pink, Cobalt Blue
Created - 15:43:14.550928: Large marble: Apollo, marbles: Safety Yellow, Bistre Brown, Spanish Pink, Tuscan Brown, Granny Smith Apple, Gold, Mango Tango
Created - 15:43:14.658271: Large marble: Apollo, marbles: Light Orange, Duke Blue, Vegas Gold, Middle Green Yellow, Royal Red, Platinum, La Salle Green
Created - 15:43:14.766453: Large marble: Big Joe, marbles: Mint Cream, Auburn, Spanish Carmine, Orange Peel, Neon Silver, Russian Violet, Mango Tango
Created - 15:43:14.873240: Large marble: Apollo, marbles: Maximum Purple, Lavender Purple, Isabelline, Mulberry, Vegas Gold, Neon Silver, Candy Pink
Created - 15:43:14.982392: Large marble: Winner, marbles: Terra Cotta, Pastel Gray, Granny Smith Apple, Rose Dust, Rose Dust, Ivory, Mango Tango
Created - 15:43:15.090258: Large marble: Big Joe, marbles: Eerie Black, Lavender Blue, Spanish Carmine, Neon Pink, Neon Pink, Indigo, Antique Brass
Created - 15:43:15.198684: Large marble: Sure Shot, marbles: Isabelline, Neon Silver, Lilac Luster, Pale Taupe, Dark Fuchsia, Light Orchid, Silver Pink
Created - 15:43:15.308457: Large marble: Big Joe, marbles: Brown, Venetian Red, Indigo, Almond, Zomp, Mint Green, Mode Beige
Created - 15:43:15.416849: Large marble: Winner, marbles: Mode Beige, Light Orchid, Auburn, Pale Plum, Silver Pink, Stop Red, Auburn
Created - 15:43:15.525625: Large marble: Sure Shot, marbles: Icterine, Royal Red, Dark Fuchsia, Emerald, Dark Moss Green, Mode Beige, Isabelline
Created - 15:43:15.634720: Large marble: Apollo, marbles: Cotton Candy, Rose Dust, Rose Dust, Lavender Purple, Royal Red, Pastel Gray, Mode Beige
Created - 15:43:15.741216: Large marble: Winner, marbles: Granny Smith Apple, Gold, Vegas Gold, Purple, Pastel Blue, Lavender Purple, Gold
Created - 15:43:15.850603: Large marble: Apollo, marbles: Safety Yellow, Antique Brass, White Smoke, Duke Blue, White Smoke, Gold, Middle Green Yellow
Created - 15:43:15.959789: Large marble: Lucky, marbles: Pale Plum, Mango Tango, Honeydew, Neon Silver, Lavender Blue, Cotton Candy, Lavender Purple
Created - 15:43:16.069045: Large marble: Apollo, marbles: Safety Yellow, Dark Moss Green, Pale Goldenrod, Silver Pink, Russian Violet, Lumber, Dark Fuchsia
Created - 15:43:16.177341: Large marble: Winner, marbles: Blue-Green, Mint Green, Pale Plum, Ruby, Platinum, Vegas Gold, Mint Green
Created - 15:43:16.284649: Large marble: Apollo, marbles: Stop Red, Lumber, Blue, Maximum Blue, Neon Pink, Icterine, Pale Plum
Created - 15:43:16.393096: Large marble: Hercules, marbles: Purple Plum, Tuscan Brown, Rose Quartz, Black Coral, Maximum Purple, Terra Cotta, Isabelline
Created - 15:43:16.502533: Large marble: Zeus, marbles: Pastel Gray, Orange Soda, Pale Goldenrod, Fiery Rose, Purple Plum, Candy Pink, Lumber
Created - 15:43:16.610747: Large marble: Sure Shot, marbles: Thulian Pink, Lavender Purple, Mulberry, Silver Pink, White Smoke, Emerald, Mode Beige
Created - 15:43:16.720278: Large marble: Spinner, marbles: Black Coral, Emerald, Green, Middle Green, Safety Yellow, Orange Soda, Pastel Gray
Created - 15:43:16.829036: Large marble: Spinner, marbles: Purple Plum, Maximum Purple, Lumber, Fiery Rose, Mimi Pink, Orange Peel, Pastel Gray
Created - 15:43:16.936091: Large marble: 5-Star, marbles: Pastel Blue, Zomp, Spanish Carmine, Gold, Lavender Purple, Mint Green, Eerie Black
Created - 15:43:17.043596: Large marble: Zeus, marbles: Zomp, Fiery Rose, Tuscan Brown, Maximum Purple, Green, Isabelline, Mode Beige
Created - 15:43:17.151649: Large marble: Zeus, marbles: Lemon Lime, Cobalt Blue, Middle Green, Emerald, La Salle Green, Dark Fuchsia, Royal Red
Created - 15:43:17.259565: Large marble: Big Joe, marbles: Mode Beige, Antique Bronze, Dark Moss Green, Outrageous Orange, Pale Plum, Silver Pink, Mint Green
Created - 15:43:17.367541: Large marble: Hercules, marbles: Zomp, Mimi Pink, Pale Cerulean, Middle Red Purple, Silver Chalice, Pale Taupe, Gold
Created - 15:43:17.475631: Large marble: Hercules, marbles: Neon Silver, Chinese Red, Zomp, Black Coral, Neon Pink, Cobalt Blue, Cobalt Blue
Created - 15:43:17.582463: Large marble: Sure Shot, marbles: Mint Cream, Rose Dust, Beaver, Mint Cream, Blue Bell, Beaver, Black Coral
Created - 15:43:17.691143: Large marble: Spinner, marbles: Middle Green, Mimi Pink, Fiery Rose, Indigo, Lavender Blue, Venetian Red, Thulian Pink
Created - 15:43:17.800911: Large marble: Spinner, marbles: Middle Green, Spanish Orange, Arylide Yellow, Mode Beige, Orange Peel, Gold, Shandy
Created - 15:43:17.908738: Large marble: Apollo, marbles: Mode Beige, Mimi Pink, Dark Fuchsia, Russian Green, Lavender Purple, Arylide Yellow, Tuscan Brown
Created - 15:43:18.017264: Large marble: Spinner, marbles: Maximum Blue, Safety Yellow, Almond, Spanish Orange, Silver Chalice, Safety Yellow, Orange Soda
Created - 15:43:18.123061: Large marble: Spinner, marbles: Zomp, Gold, Chinese Red, Maximum Blue, Platinum, Purple, Orange Soda
Created - 15:43:18.232490: Large marble: Hercules, marbles: Royal Red, Neon Silver, Sage, Purple Plum, Maximum Blue, Royal Orange, Cotton Candy
Created - 15:43:18.341196: Large marble: 5-Star, marbles: Arylide Yellow, Russian Green, Stop Red, Sage, Auburn, Pastel Blue, Pastel Blue
Created - 15:43:18.449469: Large marble: Big Joe, marbles: Icterine, Dark Fuchsia, Black Coral, Outrageous Orange, Liver Chestnut, Blue, Golden Yellow
Created - 15:43:18.556757: Large marble: 5-Star, marbles: Blue, Mode Beige, Safety Yellow, Mint Cream, Dark Fuchsia, Ivory, Chinese Red
